Survey data are below:,,,,,,,,,,
,,,,,,,,,,
,Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Variable 9,Variable 10
69,1.736883304,M,1.221980808,0.242601755,0.126910038,-0.458975416,-0.635074211,0.244983303,-1.378926528,-0.089702474
70,0.254272401,F,-1.424245496,-0.444237301,-1.295616379,0.649332478,-1.098775122,-1.683856828,0.463638673,-0.615161795
71,-0.017733002,B,1.478030693,-0.124213895,-1.586060223,1.013721072,1.961737101,1.482433102,0.191971118,0.892971898
72,0.313836102,N,1.462738462,0.78793555,-2.33738558,-0.606885537,1.320578303,1.477105405,0.630572148,0.038806798
73,1.372307396,W,-1.903609074,-0.588503341,-1.887371846,0.085148175,0.064769323,-0.919647707,-0.355942955,-1.675450535
74,0.149550178,B,1.380926062,0.250988456,0.16331793,-0.142215989,0.773699308,-0.535264763,0.757203476,0.761812147
75,2.068595646,F,-0.135485506,0.011931924,0.560414926,0.418811999,0.20347725,-0.449962366,0.635588666,-1.434494762
76,1.708084429,Q,1.077669138,-0.390171466,-1.0957463,0.071582627,0.470312128,0.081038027,0.195217962,1.205153802
77,0.735635161,E,1.30975648,0.650362585,-0.482404958,-0.089384803,0.606633492,-1.085879887,-0.08718815,-0.853229015
78,-0.505725899,M,-1.73486689,0.38554201,2.492527189,-1.233499245,-0.450533087,0.152936043,-0.217277491,0.619601608
79,-1.24614277,P,1.376827058,-1.173984018,0.105571892,0.537858998,0.203267118,0.219064283,1.297077478,-0.027625655
80,-0.110402928,N,-0.941115468,-1.236659522,0.399006711,0.5603381,-0.818801529,0.087124413,-1.148763775,0.375930191
81,-0.846855114,K,0.38118875,1.952342884,-0.916698539,1.480681145,0.056869142,-1.257229361,1.027415474,0.218298544
82,0.788729722,U,2.17814462,-0.478060371,0.777144483,0.644470469,-0.303886749,0.843830976,-0.222060674,-1.706521318
83,1.378331538,B,-2.517549468,-1.192344877,0.262831989,0.26854711,-1.393941041,-0.831100334,0.794601645,-0.136010915
84,-0.732050199,P,0.696422654,-0.615629185,1.724416924,1.664849203,-0.359707592,-1.040092516,-0.213460286,0.127837152
85,0.144393137,H,0.481536097,-0.571880328,-0.244204076,0.547326315,0.675737374,-1.02321419,0.246356289,-1.006084544
86,0.532042118,T,-0.311895221,-0.093182512,2.167036642,0.409660908,-2.589006034,0.541763982,1.124774071,1.649075906
87,1.221435243,O,-0.792990294,1.549552346,-0.593401488,-1.08011085,-0.057792598,0.149035519,1.837966982,0.642138652
88,-0.373355887,B,0.005150982,-0.560332433,0.688345706,-1.45209571,0.84418717,-0.499976773,-2.485885974,0.338036467
89,-0.441113112,H,-0.216517575,-1.525661791,2.457189398,-1.44063749,-0.623170631,0.160205711,2.146357752,0.668722798
90,-0.582784561,L,0.234111698,0.087691492,0.893920239,-0.71688442,1.742205908,1.448968397,-0.073340049,-1.017693702
91,1.767528178,F,0.640459671,-1.349844172,-0.881011489,0.490488985,1.813991037,0.068480119,-2.451973072,0.210697419
92,-0.282771802,R,-0.219482953,-0.996384291,-1.23814423,-0.359345213,0.578865284,1.950793117,0.28794869,-2.22113052
93,0.853860799,W,0.521030531,-1.745374957,-0.659965611,-1.557024274,0.323835288,-1.154044175,-1.963081478,0.073535001
94,0.393786739,D,0.019850476,-1.169601597,-1.03250854,0.507910663,-0.90690955,0.611511209,-0.662025942,1.017761655
95,0.656739251,Z,-1.504202327,2.293313227,-0.706201807,-0.091118239,0.444524504,-0.196774277,-0.55031097,-1.138232438
96,-0.685954598,F,-1.583299024,0.680052184,-0.602377464,-0.632001564,0.615251332,-1.202667152,1.039160817,0.1719596
97,-1.695363507,X,0.853367686,0.444349253,-1.336351855,0.919824582,0.374403742,1.776741081,1.401658977,2.444370552
98,-0.374801279,S,0.89730743,1.303969481,-0.188140314,-0.929833644,0.089487337,1.514620461,1.416294748,0.647087717
99,-1.427261508,J,-0.101531346,-0.438178768,-0.096583426,-0.58222528,-1.233955742,0.020717111,0.655870518,-1.673679739
100,-1.140997918,L,0.72823281,0.064940658,-2.113031052,0.852206985,-1.916808232,0.384765737,-0.166349848,-0.996437013
